Frame,True Positives,False Negatives,False Positives,Avg IoU,Precision
0,1,0,2,0.5844132494295,0.3333333333333333
1,1,0,2,0.5584529505582138,0.3333333333333333
2,1,0,2,0.563348507432623,0.3333333333333333
3,1,0,2,0.5988687902120029,0.3333333333333333
4,1,0,2,0.5581275720164609,0.3333333333333333
5,1,0,2,0.5933371159925428,0.3333333333333333
6,1,0,2,0.5157777978993119,0.3333333333333333
7,1,0,2,0.5021915879360465,0.3333333333333333
8,1,0,2,0.5677222434185425,0.3333333333333333
9,1,0,2,0.523625474424597,0.3333333333333333
10,1,0,2,0.491711919258406,0.3333333333333333
11,1,0,2,0.48291002647218295,0.3333333333333333
12,1,0,2,0.5774233727544718,0.3333333333333333
13,1,0,2,0.5783884576219633,0.3333333333333333
14,1,0,2,0.538719312304218,0.3333333333333333
15,1,0,2,0.4824116290296626,0.3333333333333333
16,1,0,2,0.5768597168597168,0.3333333333333333
17,1,0,2,0.49972411256207466,0.3333333333333333
18,1,0,2,0.4922998402272324,0.3333333333333333
19,1,0,2,0.525068753966575,0.3333333333333333
20,1,0,2,0.5011520737327189,0.3333333333333333
21,1,0,2,0.503061224489796,0.3333333333333333
22,1,0,2,0.5028711126272102,0.3333333333333333
23,1,0,2,0.43532560214094557,0.3333333333333333
24,1,0,2,0.5195606203007519,0.3333333333333333
25,1,0,2,0.4946423399942079,0.3333333333333333
26,1,0,2,0.47213622291021673,0.3333333333333333
27,1,0,2,0.47229583101601946,0.3333333333333333
28,1,0,2,0.4943089430894309,0.3333333333333333
29,1,0,2,0.4609115891215768,0.3333333333333333
30,1,0,2,0.4025601412491724,0.3333333333333333
31,1,0,2,0.4552980821233931,0.3333333333333333
32,1,0,2,0.478014801915542,0.3333333333333333
33,1,0,2,0.5093813708664955,0.3333333333333333
34,1,0,2,0.4479785015241457,0.3333333333333333
35,1,0,2,0.530768115241456,0.3333333333333333
36,1,0,2,0.4762904806522137,0.3333333333333333
37,1,0,2,0.46429442647292785,0.3333333333333333
38,1,0,2,0.4504933219123759,0.3333333333333333
39,1,0,2,0.42330992702739917,0.3333333333333333
40,1,0,2,0.44184571311643134,0.3333333333333333
41,1,0,2,0.35987433647492145,0.3333333333333333
42,0,1,3,0,0.0
43,1,0,2,0.3321591188776766,0.3333333333333333
44,1,0,2,0.3266914790607601,0.3333333333333333
45,0,1,3,0,0.0
46,0,1,3,0,0.0
47,0,1,3,0,0.0
48,1,0,2,0.30074235017200796,0.3333333333333333
49,0,1,3,0,0.0
